JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2445842.6	13.8			Vis.	SCE								V				MRK 421		STD				
2446032.5	<13.5			Vis.	MZS								V				MRK 421	MCSE	STD				
2446038.5	13.2			Vis.	MZS								V				MRK 421	MCSE	STD				
2446083.5	13.9			Vis.	MZS								V				MRK 421	MCSE	STD				
2446093.5	13.5			Vis.	MZS								V				MRK 421	MCSE	STD				
2446150.4	12.6			Vis.	PPS								V				MRK 421	MCSE	STD				
2446151.4	12.8			Vis.	PPS								V				MRK 421	MCSE	STD				
2446163.4	12.6			Vis.	PPS								V				MRK 421	MCSE	STD				
2446165.8	13.0			Vis.	HK								V				MRK 421		STD				
2446167.4	12.7			Vis.	PPS								V				MRK 421	MCSE	STD				
2446169.4	12.8			Vis.	PPS								V				MRK 421	MCSE	STD				
2446178.4	13.7			Vis.	MZS								V				MRK 421	MCSE	STD				
2446193.7	13.6			Vis.	BML								V				MRK 421		STD				
2446198.4	13.3			Vis.	MZS								V				MRK 421	MCSE	STD				
2446199.8	<13.3			Vis.	HK								V				MRK 421		STD				
2446203.7	13.7			Vis.	BML								V				MRK 421		STD				
2446207.7	13.6			Vis.	BML								V				MRK 421		STD				
2446210.4	13.5			Vis.	PPS								V				MRK 421	MCSE	STD				
2446241.45	13.0			Vis.	PPS								V				MRK 421	MCSE	STD				
2446251.4	13.5			Vis.	PPS								V				MRK 421	MCSE	STD				
2446387.5	13.7			Vis.	PPS								V				MRK 421	MCSE	STD				
2446388.052	<13.3			Vis.	COO								V				MRK 421		STD				
2446418.0	12.8			Vis.	DRY								V				MRK 421		STD				
2446438.0	13.0			Vis.	DRY								V				MRK 421		STD				
2446495.7	13.8			Vis.	HK								V				MRK 421		STD				
2446508.89	13.5			Vis.	DRY								V				MRK 421		STD				
2446530.63	14.2			Vis.	WEI								V				MRK 421		STD				
2446531.6	14.0			Vis.	WEI								V				MRK 421		STD				
2446531.742	13.5			Vis.	BML								V				MRK 421		STD				
2446532.62	13.9			Vis.	WEI								V				MRK 421		STD				
2446548.71	13.4			Vis.	DRY								V				MRK 421		STD				
2446552.66	14.1			Vis.	WEI								V				MRK 421		STD				
2446554.4	13.3			Vis.	MZS								V				MRK 421	MCSE	STD				
2446554.64	14.1			Vis.	WEI								V				MRK 421		STD				
2446557.63	14.4			Vis.	WEI								V				MRK 421		STD				
2446562.4	13.2			Vis.	PPS								V				MRK 421	MCSE	STD				
2446564.4	13.0			Vis.	PPS								V				MRK 421	MCSE	STD				
2446576.71	13.5			Vis.	DRY								V				MRK 421		STD				
2446577.4	13.0			Vis.	PPS								V				MRK 421	MCSE	STD				
2446590.74	12.5			Vis.	STR								V				MRK 421		STD				
2446619.69	13.0			Vis.	STR								V				MRK 421		STD				
2446790.9	13.0			Vis.	HK								V				MRK 421		STD				
2446848.4	<13.5			Vis.	MZS								V				MRK 421	MCSE	STD				
2446903.712	13.8			Vis.	KRB								V				MRK 421		STD				
2446939.77	13.3			Vis.	STR								V				MRK 421		STD				
2446946.7	13.5			Vis.	HK								V				MRK 421		STD				
2446946.794	<13.4			Vis.	COO								V				MRK 421		STD				
2446970.4	13.4			Vis.	MZS								V				MRK 421	MCSE	STD				
2447068.0	13.0			Vis.	HK								V				MRK 421		STD				
2447216.8	12.8			Vis.	HK								V				MRK 421		STD				
2447232.6	13.7			Vis.	FRF								V				MRK 421	MCSE	STD				
2447238.431	13.4			Vis.	MAR								V				MRK 421		STD				
2447238.8	<13.4			Vis.	HK								V				MRK 421		STD				
2447239.426	13.5			Vis.	MAR								V				MRK 421		STD				
2447262.8	13.2			Vis.	HK								V				MRK 421		STD				
2447263.4	13.1			Vis.	PPS								V				MRK 421	MCSE	STD				
2447269.4	13.2			Vis.	PPS								V				MRK 421	MCSE	STD				
2447272.4	12.9			Vis.	MZS								V				MRK 421	MCSE	STD				
2447292.7	13.6			Vis.	HK								V				MRK 421		STD				
2447313.374	13.5			Vis.	MAR								V				MRK 421		STD				
2447315.372	13.4			Vis.	MAR								V				MRK 421		STD				
2447316.366	13.3			Vis.	MAR								V				MRK 421		STD				
2447317.4	13.3			Vis.	PPS								V				MRK 421	MCSE	STD				
2447324.73	12.4			Vis.	STR								V				MRK 421		STD				
2447327.431	13.5			Vis.	KRT	C							V				MRK 421		STD				
2447530.571	13.3			Vis.	KRT								V				MRK 421		STD				
2447557.4618	13.8			Vis.	MAR								V				MRK 421		STD				
2447558.4688	13.9			Vis.	MAR								V				MRK 421		STD				
2447561.429	13.7			Vis.	KRT								V				MRK 421		STD				
2447566.432	13.6			Vis.	MAR								V				MRK 421		STD				
2447567.4444	13.5			Vis.	MAR								V				MRK 421		STD				
2447568.4563	13.5			Vis.	MAR								V				MRK 421		STD				
2447585.4	13.5			Vis.	FFC								V				MRK 421	AFOEV	STD				
2447587.424	13.4			Vis.	MAR								V				MRK 421		STD				
2447588.43	13.4			Vis.	MAR								V				MRK 421		STD				
2447590.421	13.5			Vis.	MAR								V				MRK 421		STD				
2447591.429	13.6			Vis.	MAR								V				MRK 421		STD				
2447612.371	13.4			Vis.	MAR								V				MRK 421		STD				
2447613.375	13.4			Vis.	MAR								V				MRK 421		STD				
2447614.4	13.2			Vis.	MZS								V				MRK 421	MCSE	STD				
2447615.361	13.3			Vis.	MAR								V				MRK 421		STD				
2447616.355	13.2			Vis.	MAR								V				MRK 421		STD				
2447653.357	13.5			Vis.	MAR								V				MRK 421		STD				
2447655.3514	13.6			Vis.	MAR								V				MRK 421		STD				
2447684.3736	13.2			Vis.	MAR								V				MRK 421		STD				
2447686.3653	13.2			Vis.	MAR								V				MRK 421		STD				
2447914.195	13.3			Vis.	MAR								V				MRK 421		STD				
2447925.9	12.5			Vis.	HK								V				MRK 421		STD				
2447928.4	12.8			Vis.	FFC								V				MRK 421	AFOEV	STD				
2447933.4	13.4			Vis.	VNZ								V				MRK 421	MCSE	STD				
2447937.4	13.5			Vis.	VNZ								V				MRK 421	MCSE	STD				
2447943.4	12.9			Vis.	MZS								V				MRK 421	MCSE	STD				
2447946.3	12.6			Vis.	PPS								V				MRK 421	MCSE	STD				
2447947.45	13.0			Vis.	PMR								V				MRK 421		STD				
2447948.37	13.0			Vis.	PMR								V				MRK 421		STD				
2447951.36	13.0			Vis.	PMR								V				MRK 421		STD				
2447953.4278	13.4			Vis.	MAR								V				MRK 421		STD				
2447954.32	13.0			Vis.	PMR								V				MRK 421		STD				
2447964.3	12.9			Vis.	PPS								V				MRK 421	MCSE	STD				
2447967.4174	13.5			Vis.	MAR								V				MRK 421		STD				
2447968.3	12.9			Vis.	BBE								V				MRK 421	MCSE	STD				
2447968.3	12.9			Vis.	PPS								V				MRK 421	MCSE	STD				
2447970.4	13.4			Vis.	VNZ								V				MRK 421	MCSE	STD				
2447970.4236	13.5			Vis.	MAR								V				MRK 421		STD				
2447972.3882	13.1			Vis.	VMO								V				MRK 421		STD				
2447974.35	13.1			Vis.	PMR								V				MRK 421		STD				
2447981.8	13.0			Vis.	HK								V				MRK 421		STD				
2447983.3	<11.8			Vis.	FFC								V				MRK 421	AFOEV	STD				
2447983.417	13.0			Vis.	KRT								V				MRK 421		STD				
2447987.397	13.2			Vis.	KRT								V				MRK 421		STD				
2447991.392	12.9			Vis.	KRT								V				MRK 421		STD				
2447993.387	13.3			Vis.	KRT								V				MRK 421		STD				
2447996.392	13.5			Vis.	KRT								V				MRK 421		STD				
2448000.663	13.4			Vis.	KRB								V				MRK 421		STD				
2448005.3799	13.4			Vis.	MAR								V				MRK 421		STD				
2448008.7	13.4			Vis.	HK								V				MRK 421		STD				
2448009.3885	13.4			Vis.	MAR								V				MRK 421		STD				
2448010.437	13.3			Vis.	KRT								V				MRK 421		STD				
2448011.42	13.0			Vis.	KRT								V				MRK 421		STD				
2448012.538	13.0			Vis.	KRT								V				MRK 421		STD				
2448016.387	12.9			Vis.	KRT								V				MRK 421		STD				
2448018.419	13.5			Vis.	KRT								V				MRK 421		STD				
2448019.7	<13.4			Vis.	TDB								V				MRK 421		STD				
2448029.439	13.0			Vis.	KRT								V				MRK 421		STD				
2448030.397	13.0			Vis.	KRT								V				MRK 421		STD				
2448032.431	12.9			Vis.	KRT								V				MRK 421		STD				
2448035.395	13.0			Vis.	KRT								V				MRK 421		STD				
2448037.391	13.1			Vis.	KRT								V				MRK 421		STD				
2448037.5	<11.7			Vis.	FFC								V				MRK 421	AFOEV	STD				
2448038.409	12.8			Vis.	KRT								V				MRK 421		STD				
2448039.411	13.0			Vis.	KRT								V				MRK 421		STD				
2448041.403	13.0			Vis.	KRT								V				MRK 421		STD				
2448041.7	13.3			Vis.	KRB								V				MRK 421		STD				
2448052.6	13.2			Vis.	TDB								V				MRK 421		STD				
2448057.7	<13.4			Vis.	HK								V				MRK 421		STD				
2448060.4	<12.8			Vis.	SKV								V				MRK 421	AFOEV	STD				
2448067.4	<13.2			Vis.	SKV								V				MRK 421	AFOEV	STD				
2448069.35	<11.8			Vis.	FFC								V				MRK 421	AFOEV	STD				
2448193.9	<13.4			Vis.	HK								V				MRK 421		STD				
2448212.0	<12.5			Vis.	HK								V				MRK 421		STD				
2448230.9	13.0			Vis.	SCE								V				MRK 421		STD				
2448234.8	13.0			Vis.	GRI								V				MRK 421		STD				
2448235.9	<13.4			Vis.	HK								V				MRK 421		STD				
2448328.4	13.8			Vis.	FFC								V				MRK 421	AFOEV	STD				
2448329.7	<13.4			Vis.	SWT								V				MRK 421		STD				
2448351.763	13.2			Vis.	YRK								V				MRK 421		STD				
2448352.3	12.9			Vis.	PPS								V				MRK 421	MCSE	STD				
2448352.753	13.1			Vis.	YRK								V				MRK 421		STD				
2448355.759	13.3			Vis.	YRK								V				MRK 421		STD				
2448356.74	13.0			Vis.	YRK								V				MRK 421		STD				
2448357.6	<13.3			Vis.	SWT								V				MRK 421		STD				
2448357.754	13.2			Vis.	YRK								V				MRK 421		STD				
2448358.699	12.8			Vis.	YRK								V				MRK 421		STD				
2448359.721	12.5			Vis.	YRK								V				MRK 421		STD				
2448360.696	12.7			Vis.	YRK								V				MRK 421		STD				
2448361.684	12.5			Vis.	YRK								V				MRK 421		STD				
2448362.717	12.7			Vis.	YRK								V				MRK 421		STD				
2448363.711	12.7			Vis.	YRK								V				MRK 421		STD				
2448364.717	12.9			Vis.	YRK								V				MRK 421		STD				
2448365.8	13.5			Vis.	HK	C							V				MRK 421		STD				
2448377.6	<13.3			Vis.	SWT								V				MRK 421		STD				
2448379.7	<13.3			Vis.	SWT								V				MRK 421		STD				
2448380.708	13.3			Vis.	YRK								V				MRK 421		STD				
2448381.4	13.1			Vis.	MZS								V				MRK 421	MCSE	STD				
2448381.696	13.3			Vis.	YRK								V				MRK 421		STD				
2448384.748	13.2			Vis.	YRK								V				MRK 421		STD				
2448385.77	13.0			Vis.	YRK								V				MRK 421		STD				
2448386.774	13.1			Vis.	YRK								V				MRK 421		STD				
2448387.708	13.0			Vis.	YRK								V				MRK 421		STD				
2448388.717	13.3			Vis.	YRK								V				MRK 421		STD				
2448389.7	13.0			Vis.	HK	C							V				MRK 421		STD				
2448391.703	13.0			Vis.	YRK								V				MRK 421		STD				
2448392.766	13.3			Vis.	YRK								V				MRK 421		STD				
2448393.739	13.1			Vis.	YRK								V				MRK 421		STD				
2448399.719	13.3			Vis.	YRK								V				MRK 421		STD				
2448401.707	13.1			Vis.	YRK								V				MRK 421		STD				
2448402.7	13.1			Vis.	YRK								V				MRK 421		STD				
2448403.727	13.0			Vis.	YRK								V				MRK 421		STD				
2448408.702	13.0			Vis.	YRK								V				MRK 421		STD				
2448409.708	13.0			Vis.	YRK								V				MRK 421		STD				
2448410.699	13.0			Vis.	YRK								V				MRK 421		STD				
2448411.704	12.9			Vis.	YRK								V				MRK 421		STD				
2448413.708	13.1			Vis.	YRK								V				MRK 421		STD				
2448414.739	13.1			Vis.	YRK								V				MRK 421		STD				
2448415.38	13.4			Vis.	OJR								V				MRK 421		STD				
2448415.701	13.1			Vis.	YRK								V				MRK 421		STD				
2448416.38	13.4			Vis.	OJR								V				MRK 421		STD				
2448416.717	13.0			Vis.	YRK								V				MRK 421		STD				
2448417.712	13.2			Vis.	YRK								V				MRK 421		STD				
2448418.7	13.3			Vis.	HK								V				MRK 421		STD				
2448418.708	13.2			Vis.	YRK								V				MRK 421		STD				
2448419.4	13.0			Vis.	OJR								V				MRK 421		STD				
2448422.713	12.9			Vis.	YRK								V				MRK 421		STD				
2448423.703	13.0			Vis.	YRK								V				MRK 421		STD				
2448425.3	12.7			Vis.	PPS								V				MRK 421	MCSE	STD				
2448425.38	13.0			Vis.	OJR								V				MRK 421		STD				
2448426.39	13.0			Vis.	OJR								V				MRK 421		STD				
2448428.704	13.1			Vis.	YRK								V				MRK 421		STD				
2448429.39	<13.0			Vis.	OJR								V				MRK 421		STD				
2448437.39	13.0			Vis.	OJR								V				MRK 421		STD				
2448439.707	13.0			Vis.	YRK								V				MRK 421		STD				
2448440.705	13.1			Vis.	YRK								V				MRK 421		STD				
2448442.713	13.0			Vis.	YRK								V				MRK 421		STD				
2448443.38	13.0			Vis.	OJR								V				MRK 421		STD				
2448443.71	13.0			Vis.	YRK								V				MRK 421		STD				
2448444.38	13.0			Vis.	OJR								V				MRK 421		STD				
2448444.705	13.1			Vis.	YRK								V				MRK 421		STD				
2448445.4	13.0			Vis.	OJR								V				MRK 421		STD				
2448446.71	13.0			Vis.	YRK								V				MRK 421		STD				
2448447.39	13.0			Vis.	OJR								V				MRK 421		STD				
2448447.703	13.1			Vis.	YRK								V				MRK 421		STD				
2448448.38	13.0			Vis.	OJR								V				MRK 421		STD				
2448448.705	13.1			Vis.	YRK								V				MRK 421		STD				
2448449.7	13.1			Vis.	YRK								V				MRK 421		STD				
2448450.705	13.1			Vis.	YRK								V				MRK 421		STD				
2448451.701	13.1			Vis.	YRK								V				MRK 421		STD				
2448452.7	13.1			Vis.	YRK								V				MRK 421		STD				
2448453.38	13.0			Vis.	OJR								V				MRK 421		STD				
2448453.7	13.1			Vis.	YRK								V				MRK 421		STD				
2448456.38	13.0			Vis.	OJR								V				MRK 421		STD				
2448463.704	13.2			Vis.	YRK								V				MRK 421		STD				
2448600.0	12.5			Vis.	HK	C							V				MRK 421		STD				
2448627.0	13.1			Vis.	HK	C							V				MRK 421		STD				
2448663.62	12.5			Vis.	YRK								V				MRK 421		STD				
2448677.36	12.7			Vis.	FFC								V				MRK 421	AFOEV	STD				
2448678.8	12.0			Vis.	HK	C							V				MRK 421		STD				
2448679.676	12.7			Vis.	YRK								V				MRK 421		STD				
2448680.638	12.7			Vis.	YRK								V				MRK 421		STD				
2448681.674	12.5			Vis.	YRK								V				MRK 421		STD				
2448702.6	12.8			Vis.	KRB								V				MRK 421		STD				
2448704.8	<12.5			Vis.	HK	C							V				MRK 421		STD				
2448706.696	12.5			Vis.	YRK								V				MRK 421		STD				
2448715.611	12.5			Vis.	YRK								V				MRK 421		STD				
2448716.672	12.5			Vis.	YRK								V				MRK 421		STD				
2448718.713	12.5			Vis.	YRK								V				MRK 421		STD				
2448719.723	12.5			Vis.	YRK								V				MRK 421		STD				
2448722.651	12.5			Vis.	YRK								V				MRK 421		STD				
2448733.674	12.8			Vis.	YRK								V				MRK 421		STD				
2448734.691	12.6			Vis.	YRK								V				MRK 421		STD				
2448735.678	12.7			Vis.	YRK								V				MRK 421		STD				
2448739.677	12.7			Vis.	YRK								V				MRK 421		STD				
2448739.7	12.0			Vis.	HK	C							V				MRK 421		STD				
2448740.68	12.7			Vis.	YRK								V				MRK 421		STD				
2448747.7	12.5			Vis.	HK	C							V				MRK 421		STD				
2448752.42	<12.5			Vis.	OJR								V				MRK 421		STD				
2448753.38	<12.5			Vis.	OJR								V				MRK 421		STD				
2448759.662	12.6			Vis.	YRK								V				MRK 421		STD				
2448769.684	12.8			Vis.	YRK								V				MRK 421		STD				
2448773.669	12.7			Vis.	YRK								V				MRK 421		STD				
2448775.698	12.7			Vis.	YRK								V				MRK 421		STD				
2448776.66	12.7			Vis.	YRK								V				MRK 421		STD				
2448778.679	12.7			Vis.	YRK								V				MRK 421		STD				
2448788.671	12.5			Vis.	YRK								V				MRK 421		STD				
2448789.663	12.5			Vis.	YRK								V				MRK 421		STD				
2448790.668	12.5			Vis.	YRK								V				MRK 421		STD				
2448795.741	12.7			Vis.	YRK								V				MRK 421		STD				
2448796.68	12.7			Vis.	YRK								V				MRK 421		STD				
2448798.689	13.0			Vis.	YRK								V				MRK 421		STD				
2448800.675	12.9			Vis.	YRK								V				MRK 421		STD				
2448801.67	12.8			Vis.	YRK								V				MRK 421		STD				
2448802.675	13.0			Vis.	YRK								V				MRK 421		STD				
2448803.668	12.9			Vis.	YRK								V				MRK 421		STD				
2448804.675	13.0			Vis.	YRK								V				MRK 421		STD				
2448805.681	12.9			Vis.	YRK								V				MRK 421		STD				
2448806.672	12.8			Vis.	YRK								V				MRK 421		STD				
2448807.68	12.8			Vis.	YRK								V				MRK 421		STD				
2448809.673	12.7			Vis.	YRK								V				MRK 421		STD				
2448810.675	12.7			Vis.	YRK								V				MRK 421		STD				
2448823.669	12.6			Vis.	YRK								V				MRK 421		STD				
2448830.667	12.7			Vis.	YRK								V				MRK 421		STD				
2448831.664	12.6			Vis.	YRK								V				MRK 421		STD				
2448832.671	12.7			Vis.	YRK								V				MRK 421		STD				
2448837.658	12.7			Vis.	YRK								V				MRK 421		STD				
2448946.903	12.7			Vis.	MKJ								V				MRK 421		STD				
2448949.807	12.9			Vis.	YRK								V				MRK 421		STD				
2448953.798	12.9			Vis.	YRK								V				MRK 421		STD				
2448962.003	12.8			Vis.	RPR								V				MRK 421		STD				
2448976.942	13.0			Vis.	RPR								V				MRK 421		STD				
2448982.904	12.8			Vis.	RPR								V				MRK 421		STD				
2449001.4403	13.1			Vis.	PYG								V				MRK 421		STD				
2449004.851	12.8			Vis.	RPR								V				MRK 421		STD				
2449005.4021	13.1			Vis.	PYG								V				MRK 421		STD				
2449006.0	12.3			Vis.	HK	C							V				MRK 421		STD				
2449007.380	12.8			Vis.	RGL								V				MRK 421		STD				
2449009.798	12.7			Vis.	YRK								V				MRK 421		STD				
2449010.4403	12.8			Vis.	PYG								V				MRK 421		STD				
2449010.69	12.7			Vis.	YRK								V				MRK 421		STD				
2449011.711	12.7			Vis.	YRK								V				MRK 421		STD				
2449012.753	12.7			Vis.	YRK								V				MRK 421		STD				
2449013.3903	12.8			Vis.	PYG								V				MRK 421		STD				
2449013.719	12.7			Vis.	YRK								V				MRK 421		STD				
2449014.657	12.7			Vis.	YRK								V				MRK 421		STD				
2449015.649	12.7			Vis.	YRK								V				MRK 421		STD				
2449017.320	12.8			Vis.	RGL								V				MRK 421		STD				
2449017.882	12.6			Vis.	RPR								V				MRK 421		STD				
2449020.671	12.7			Vis.	YRK								V				MRK 421		STD				
2449030.776	12.7			Vis.	YRK								V				MRK 421		STD				
2449031.65	12.7			Vis.	YRK								V				MRK 421		STD				
2449032.684	12.7			Vis.	YRK								V				MRK 421		STD				
2449032.935	12.9			Vis.	RPR								V				MRK 421		STD				
2449033.573	13.0			Vis.	GBZ								V				MRK 421		STD				
2449034.516	13.1			Vis.	GBZ	C							V				MRK 421		STD				
2449035.307	12.7			Vis.	GBZ								V				MRK 421		STD				
2449035.309	12.8			Vis.	OER								V				MRK 421		STD				
2449036.481	13.3			Vis.	GBZ								V				MRK 421		STD				
2449036.641	12.9			Vis.	YRK								V				MRK 421		STD				
2449037.5062	12.8			Vis.	PYG								V				MRK 421		STD				
2449038.3507	12.8			Vis.	PYG								V				MRK 421		STD				
2449040.618	13.0			Vis.	YRK								V				MRK 421		STD				
2449040.968	13.4			Vis.	RPR								V				MRK 421		STD				
2449041.531	13.3			Vis.	GBZ								V				MRK 421		STD				
2449041.653	13.4			Vis.	YRK								V				MRK 421		STD				
2449042.434	13.2			Vis.	VMT								V				MRK 421		STD				
2449042.536	13.7			Vis.	GBZ								V				MRK 421		STD				
2449042.624	13.5			Vis.	YRK								V				MRK 421		STD				
2449043.4118	13.1			Vis.	PYG								V				MRK 421		STD				
2449043.577	13.0			Vis.	GBZ	C							V				MRK 421		STD				
2449044.575	13.2			Vis.	PYG								V				MRK 421		STD				
2449045.579	13.8			Vis.	GBZ								V				MRK 421		STD				
2449045.820	13.2			Vis.	RPR								V				MRK 421		STD				
2449046.4382	13.4			Vis.	PYG								V				MRK 421		STD				
2449046.545	13.6			Vis.	GBZ								V				MRK 421		STD				
2449048.479	13.9			Vis.	GBZ								V				MRK 421		STD				
2449049.725	13.5			Vis.	YRK								V				MRK 421		STD				
2449050.621	13.3			Vis.	YRK								V				MRK 421		STD				
2449051.657	13.3			Vis.	YRK								V				MRK 421		STD				
2449052.625	13.2			Vis.	YRK								V				MRK 421		STD				
2449055.378	13.4			Vis.	PYG								V				MRK 421		STD				
2449055.611	13.3			Vis.	YRK								V				MRK 421		STD				
2449056.263	13.4			Vis.	RGL								V				MRK 421		STD				
2449056.372	13.4			Vis.	VMT	C							V				MRK 421		STD				
2449056.616	13.5			Vis.	YRK								V				MRK 421		STD				
2449058.33	13.4			Vis.	PYG								V				MRK 421		STD				
2449058.438	13.5			Vis.	VMT								V				MRK 421		STD				
2449058.7	13.3			Vis.	SWT								V				MRK 421		STD				
2449059.316	13.3			Vis.	RGL								V				MRK 421		STD				
2449059.39	13.0			Vis.	GBZ								V				MRK 421		STD				
2449060.623	13.1			Vis.	YRK								V				MRK 421		STD				
2449060.852	12.9			Vis.	RPR								V				MRK 421		STD				
2449061.34	13.5			Vis.	PYG								V				MRK 421		STD				
2449062.383	13.3			Vis.	GBZ								V				MRK 421		STD				
2449062.4	12.8			Vis.	VCP								V				MRK 421		STD				
2449062.429	13.2			Vis.	RGL								V				MRK 421		STD				
2449062.479	13.2			Vis.	VMT								V				MRK 421		STD				
2449062.642	13.1			Vis.	YRK								V				MRK 421		STD				
2449063.628	13.0			Vis.	YRK								V				MRK 421		STD				
2449065.326	13.5			Vis.	PYG								V				MRK 421		STD				
2449065.592	13.1			Vis.	YRK								V				MRK 421		STD				
2449066.418	13.6			Vis.	GBZ								V				MRK 421		STD				
2449066.425	13.2			Vis.	RGL								V				MRK 421		STD				
2449066.631	13.1			Vis.	YRK								V				MRK 421		STD				
2449067.427	13.3			Vis.	PYG								V				MRK 421		STD				
2449067.444	13.2			Vis.	VMT								V				MRK 421		STD				
2449067.841	13.2			Vis.	RPR								V				MRK 421		STD				
2449068.388	13.3			Vis.	RGL								V				MRK 421		STD				
2449068.679	13.0			Vis.	YRK								V				MRK 421		STD				
2449069.383	13.2			Vis.	PYG								V				MRK 421		STD				
2449069.678	13.0			Vis.	YRK								V				MRK 421		STD				
2449070.356	13.3			Vis.	RGL								V				MRK 421		STD				
2449070.411	13.1			Vis.	PYG								V				MRK 421		STD				
2449070.668	13.0			Vis.	YRK								V				MRK 421		STD				
2449071.384	13.2			Vis.	RGL								V				MRK 421		STD				
2449071.455	13.0			Vis.	VMT								V				MRK 421		STD				
2449071.657	13.0			Vis.	YRK								V				MRK 421		STD				
2449072.674	13.0			Vis.	YRK								V				MRK 421		STD				
2449073.451	13.4			Vis.	GBZ								V				MRK 421		STD				
2449073.818	13.2			Vis.	RPR								V				MRK 421		STD				
2449075.6	13.1			Vis.	WDN								V				MRK 421		STD				
2449075.666	13.0			Vis.	YRK								V				MRK 421		STD				
2449077.7	13.0			Vis.	RRB								V				MRK 421		STD				
2449077.76	13.0			Vis.	YRK								V				MRK 421		STD				
2449078.705	13.0			Vis.	YRK								V				MRK 421		STD				
2449081.823	13.0			Vis.	YRK								V				MRK 421		STD				
2449085.5576	13.3			Vis.	DPL								V				MRK 421		STD				
2449086.825	13.0			Vis.	YRK								V				MRK 421		STD				
2449087.289	13.0			Vis.	GBZ								V				MRK 421		STD				
2449087.804	13.0			Vis.	YRK								V				MRK 421		STD				
2449088.3	13.7			Vis.	SNO								V				MRK 421	MCSE	STD				
2449088.351	13.2			Vis.	VMT	C							V				MRK 421		STD				
2449088.792	13.1			Vis.	YRK								V				MRK 421		STD				
2449089.475	13.3			Vis.	VMT								V				MRK 421		STD				
2449089.7	13.0			Vis.	CDT								V				MRK 421		STD				
2449089.770	13.5			Vis.	WDN								V				MRK 421		STD				
2449090.341	13.2			Vis.	RGL								V				MRK 421		STD				
2449091.7	13.0			Vis.	SCE								V				MRK 421		STD				
2449093.329	13.0			Vis.	GBZ								V				MRK 421		STD				
2449093.781	13.0			Vis.	YRK								V				MRK 421		STD				
2449094.318	12.8			Vis.	GBZ								V				MRK 421		STD				
2449094.740	13.3			Vis.	RPR								V				MRK 421		STD				
2449094.801	12.9			Vis.	YRK								V				MRK 421		STD				
2449095.387	13.2			Vis.	PYG								V				MRK 421		STD				
2449095.819	13.2			Vis.	YRK								V				MRK 421		STD				
2449097.798	13.1			Vis.	YRK								V				MRK 421		STD				
2449098.7	13.3			Vis.	KRB								V				MRK 421		STD				
2449098.982	13.1			Vis.	YRK								V				MRK 421		STD				
2449099.384	13.1			Vis.	PYG								V				MRK 421		STD				
2449099.486	13.4			Vis.	VMT								V				MRK 421		STD				
2449099.760	13.3			Vis.	RPR								V				MRK 421		STD				
2449099.822	13.0			Vis.	YRK								V				MRK 421		STD				
2449100.559	13.4			Vis.	VMT								V				MRK 421		STD				
2449101.47	13.3			Vis.	PYG								V				MRK 421		STD				
2449101.791	13.4			Vis.	YRK								V				MRK 421		STD				
2449102.392	12.8			Vis.	DPA								V				MRK 421		STD				
2449102.43403	13.0			Vis.	ONJ	K	127	135	S&T May 1993				Z				MRK 421		STD				
2449102.865	12.9			Vis.	YRK								V				MRK 421		STD				
2449103.377	12.9			Vis.	DPA								V				MRK 421		STD				
2449103.417	13.1			Vis.	VMT								V				MRK 421		STD				
2449103.844	13.1			Vis.	YRK								V				MRK 421		STD				
2449104.389	13.3			Vis.	PYG								V				MRK 421		STD				
2449104.5	12.9			Vis.	MZS								V				MRK 421	MCSE	STD				
2449104.537	12.9			Vis.	DPA								V				MRK 421		STD				
2449105.050	13.0			Vis.	YRK								V				MRK 421		STD				
2449106.387	13.3			Vis.	PYG								V				MRK 421		STD				
2449106.5743	12.9			Vis.	DPL								V				MRK 421		STD				
2449106.835	13.0			Vis.	YRK								V				MRK 421		STD				
2449107.590	13.2			Vis.	VMT								V				MRK 421		STD				
2449107.8125	13.0			Vis.	SNP								V				MRK 421		STD				
2449110.395	13.3			Vis.	PYG								V				MRK 421		STD				
2449111.416	13.3			Vis.	PYG								V				MRK 421		STD				
2449111.804	12.8			Vis.	YRK								V				MRK 421		STD				
2449112.404	13.0			Vis.	PYG								V				MRK 421		STD				
2449113.424	12.9			Vis.	VMT								V				MRK 421		STD				
2449114.469	12.9			Vis.	PYG								V				MRK 421		STD				
2449115.404	13.0			Vis.	PYG								V				MRK 421		STD				
2449115.5736	13.3			Vis.	DPL								V				MRK 421		STD				
2449116.5639	13.3			Vis.	DPL								V				MRK 421		STD				
2449116.7	13.3			Vis.	HK								V				MRK 421		STD				
2449117.8	12.9			Vis.	AAP								V				MRK 421		STD				
2449117.833	13.0			Vis.	YRK								V				MRK 421		STD				
2449118.390	12.8			Vis.	DPA								V				MRK 421		STD				
2449118.451	12.9			Vis.	VMT								V				MRK 421		STD				
2449118.5604	13.0			Vis.	DPL								V				MRK 421		STD				
2449118.810	13.0			Vis.	YRK								V				MRK 421		STD				
2449119.404	13.1			Vis.	PYG								V				MRK 421		STD				
2449119.7	13.4			Vis.	KRB								V				MRK 421		STD				
2449119.810	12.9			Vis.	YRK								V				MRK 421		STD				
